country,year,iso_code,co2_per_capita,consumption_co2_per_capita,co2_per_gdp,consumption_co2_per_gdp,energy_per_capita,primary_energy_consumption,energy_per_gdp,gdp,population
Chile,2019,CHL,4.7910332679748535,5.103087902069092,0.2203930020332336,0.234747901558876,24689.287109375,473.9787292480469,1.1357355117797852,417331966568.0,19197748.0
China,2019,CHN,7.526070594787598,6.861217498779297,0.4533489048480987,0.4133000671863556,28231.927734375,40188.72265625,1.7006102800369265,23631941251482.0,1423520357.0
Colombia,2019,COL,1.9828872680664065,2.253140449523926,0.1474779844284057,0.1675781607627868,11495.8759765625,573.7360229492188,0.8550100326538086,671028388046.0,49907987.0
Comoros,2019,COM,0.3959409296512604,,0.2031345516443252,,1154.260986328125,0.9079209566116332,0.5921850800514221,1533170985.0,786582.0
Congo,2019,COG,1.2985657453536987,,0.3014297485351562,,2574.93603515625,14.462530136108398,0.5977073907852173,24196673159.0,5616656.0
Costa Rica,2019,CRI,1.532217264175415,2.870619535446167,0.102623850107193,0.1922664940357208,9256.2509765625,46.27708053588867,0.6199591755867004,74645366733.0,4999549.0
Cote d'Ivoire,2019,CIV,0.3738069534301758,0.5109614133834839,0.1007353365421295,0.1376964002847671,2037.2398681640625,57.43593215942383,0.5490054488182068,104618149506.0,28193014.0
Croatia,2019,HRV,4.47037410736084,6.0376973152160645,0.1914980560541153,0.2586376965045929,24035.390625,95.81319427490234,1.0296074151992798,93057982684.0,3986338.0
Cuba,2019,CUB,2.0072500705718994,,0.245213970541954,,8404.18359375,94.1507797241211,1.0266897678375244,91703236400.0,11202847.0
Cyprus,2019,CYP,5.692592144012451,7.193387031555176,0.2303278297185897,0.29105144739151,25253.96875,32.493499755859375,1.0218002796173096,31800247242.0,1286669.0
Czechia,2019,CZE,9.568803787231444,10.507802963256836,0.2952544391155243,0.3242281675338745,45278.13671875,477.9049377441406,1.397099494934082,342069373423.0,10554872.0
Democratic Republic of Congo,2019,COD,0.0443055927753448,,0.0519351512193679,,307.07244873046875,28.541601181030277,0.3599512279033661,79292965259.0,92947450.0
Denmark,2019,DNK,5.322840690612793,9.119073867797852,0.1102782189846038,0.1889283061027526,37285.68359375,216.8020172119141,0.7724820971488953,280656364923.0,5814618.0
Djibouti,2019,DJI,0.4961991608142853,,0.1750204861164093,,3235.806640625,3.522855043411255,1.141340970993042,3086593147.0,1088710.0
Dominica,2019,DMA,2.536162853240967,,0.2408940196037292,,11136.95703125,0.7562105059623718,1.0578287839889526,714870398.0,67901.0
Dominican Republic,2019,DOM,2.6134562492370605,3.430124521255493,0.1636796593666076,0.2148272544145584,11349.3427734375,123.64022827148438,0.7108045816421509,173944046167.0,10894043.0
Ecuador,2019,ECU,2.311568260192871,2.680542230606079,0.2268032133579254,0.2630056738853454,12187.5947265625,211.3330993652344,1.195805311203003,176728682555.0,17340017.0
Egypt,2019,EGY,2.176227569580078,2.2906863689422607,0.1815470457077026,0.1910955309867859,9749.40625,1048.5794677734375,0.8133229613304138,1289253465646.0,107553159.0
El Salvador,2019,SLV,1.226899266242981,1.6995820999145508,0.1353726089000702,0.1875271201133728,6477.021484375,40.30207443237305,0.7146563529968262,56393644127.0,6222316.0
Equatorial Guinea,2019,GNQ,3.301235675811768,,0.2674235105514526,,11941.9931640625,19.94532585144043,0.9673861265182496,20617750095.0,1670184.0
